"level2","color"
"CD4_cl1","blue2"
"CD4_cl2","darkorange2"
"CD4_cl3","darkolivegreen2"
"CD4_cl4","darkorchid2"
"CD4_cl5","deepskyblue2"
"CD4_cl7","pink2"
"CD4_cl9","chartreuse2"
"CD4_cl10","darkgoldenrod2"
"CD4_cl12","cadetblue2"
"CD4_cl13","brown2"
"CD4_cl14","darkseagreen2"
"CD4_cl15","violetred2"
"CD4_cl16","cyan2"
"CD4_cl17","burlywood2"
"CD4_cl18","red2"
"CD4_cl20","blue"
"CD4_cl21","darkorange"
"CD4_cl22","darkolivegreen"
"CD4_cl23","darkorchid"
"CD4_cl25","deepskyblue"
"CD4_cl28","pink"
"CD4_miniverse","grey"
"CD4_prolif","black"
"CD8_cl1","blue2"
"CD8_cl2","darkorange2"
"CD8_cl4","darkolivegreen2"
"CD8_cl5","darkorchid2"
"CD8_cl6","deepskyblue2"
"CD8_cl7","pink2"
"CD8_cl10","chartreuse2"
"CD8_cl11","darkgoldenrod2"
"CD8_cl12","cadetblue2"
"CD8_cl13","brown2"
"CD8_cl14","darkseagreen2"
"CD8_cl15","violetred2"
"CD8_cl18","cyan2"
"CD8_cl20","burlywood2"
"CD8_cl22","red2"
"CD8_cl25","blue"
"CD8_cl26","darkorange"
"CD8_cl27","darkolivegreen"
"CD8_cl28","darkorchid"
"CD8_miniverse","grey"
"CD8_prolif","black"
"CD8aa_cl1","chartreuse"
"CD8aa_cl16","darkgoldenrod"
"CD8aa_cl20","cadetblue"
"CD8aa_cl40","brown"
"CD8aa_cl56","darkseagreen"
"CD8aa_miniverse","violetred"
"CD8aa_prolif","cyan"
"Treg_cl1","blue2"
"Treg_cl2","darkorange2"
"Treg_cl3","darkolivegreen2"
"Treg_cl4","darkorchid2"
"Treg_cl6","deepskyblue2"
"Treg_cl7","pink2"
"Treg_cl8","chartreuse2"
"Treg_miniverse","grey"
"Treg_prolif","black"
"gdT_cl2","blue2"
"gdT_cl4","darkorange2"
"gdT_cl5","darkolivegreen2"
"gdT_cl7","darkorchid2"
"gdT_cl9","deepskyblue2"
"gdT_cl10","pink2"
"gdT_cl11","chartreuse2"
"gdT_cl12","darkgoldenrod2"
"gdT_cl23","cadetblue2"
"gdT_cl26","brown2"
"gdT_cl28","darkseagreen2"
"gdT_cl33","violetred2"
"gdT_cl35","cyan2"
"gdT_cl42","burlywood2"
"gdT_cl43","red2"
"gdT_cl46","blue"
"gdT_cl50","darkorange"
"gdT_cl52","darkolivegreen"
"gdT_cl54","darkorchid"
"gdT_miniverse","grey"
"gdT_prolif","black"
"nonconv_cl8","blue2"
"nonconv_cl13","darkorange2"
"nonconv_cl17","darkolivegreen2"
"nonconv_cl21","darkorchid2"
"nonconv_cl24","deepskyblue2"
"nonconv_cl55","pink2"
"nonconv_miniverse","grey"
"nonconv_prolif","black"
"CD8aa_cl1","blue2"
"CD8aa_cl16","darkorange2"
"CD8aa_cl20","darkolivegreen2"
"CD8aa_cl40","darkorchid2"
"CD8aa_cl56","deepskyblue2"
"CD8aa_miniverse","grey"
"CD8aa_prolif","black"
"DN_cl3","blue2"
"DN_cl15","darkorange2"
"DN_cl18","darkolivegreen2"
"DN_cl29","darkorchid2"
"DN_cl31","deepskyblue2"
"DN_cl34","pink2"
"DN_cl39","chartreuse2"
"DN_cl41","darkgoldenrod2"
"DN_cl57","cadetblue2"
"DN_cl58","brown2"
"DN_miniverse","grey"
"DN_prolif","black"
"DP_cl14","blue2"
"DP_cl51","darkorange2"
"DP_cl59","darkolivegreen2"
"DP_cl60","darkorchid2"
"DP_cl61","deepskyblue2"
"DP_cl62","pink2"
"DP_cl63","chartreuse2"
"DP_cl64","darkgoldenrod2"
"DP_cl65","cadetblue2"
"DP_miniverse","grey"
"DP_prolif","black"
"thymocyte","cornsilk3"
"nonT","cornsilk1"
"nonT","cornsilk2"
"unclear_cl25","blue2"
"unclear_cl37","darkorange2"
"unclear_cl47","darkolivegreen2"
"unclear_miniverse","grey"
"unclear_thymocyte","deepskyblue2"
"unclear_prolif","black"
